.1.3.6.1.4.1.2636.1.1.3.2.4.5	jnxM10Fan
.1.3.6.1.4.1.2636.1.1.3.2.4.4	jnxM10Power
.1.3.6.1.4.1.2636.1.1.3.2.4.1	jnxM10FPC
.1.3.6.1.4.1.2636.1.1.3.2.4.3	jnxM10RE
.1.3.6.1.4.1.2636.1.1.3.2.4.2	jnxM10FEB
.1.3.6.1.4.1.2636.1.1.3.2.16.3	jnxIRMRE
.1.3.6.1.4.1.2636.1.1.3.2.16.4	jnxIRMPower
.1.3.6.1.4.1.2636	jnxMibs
.1.3.6.1.4.1.2636.1.1.3.2.14.1	jnxJ4300FPC
.1.3.6.1.4.1.2636.1.1.3.2.14.2	jnxJ4300RE
.1.3.6.1.4.1.2636.1.1.2.2.13	jnxSlotJ2300
.1.3.6.1.4.1.2636.1.1.2.2.15	jnxSlotJ6300
.1.3.6.1.4.1.2636.1.1.2.2.14	jnxSlotJ4300
.1.3.6.1.4.1.2636.1.1.3.2.16.2	jnxIRMCFEB
.1.3.6.1.4.1.2636.1.1.2.2.17	jnxSlotTX
.1.3.6.1.4.1.2636.1.1.2.2.16	jnxSlotIRM
.1.3.6.1.4.1.2636.1.1.3.2.16.1	jnxIRMFPC
.1.3.6.1.4.1.2636.1.1.2.3.1.1	jnxMediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.3.3.8.3.2	jnxM40eFPMDisplay
.1.3.6.1.4.1.2636.1.1.2	jnxClassContainers
.1.3.6.1.4.1.2636.1.1.1	jnxClassGeneral
.1.3.6.1.4.1.2636.1.1.4	jnxClassStatus
.1.3.6.1.4.1.2636.1.1.3	jnxClassContents
.1.3.6.1.4.1.2636.1.1.3.3.8.3.1	jnxM40eFPMCMB
.1.3.6.1.4.1.2636.1.1.2.2.11	jnxSlotM10i
.1.3.6.1.4.1.2636.1.1.2.2.10	jnxSlotM7i
.1.3.6.1.4.1.2636.1.1.3.3.12.1.120	jnxPicMonitoring3V1
.1.3.6.1.4.1.2636.1.1.3.3.3.5.13	jnxM160QuadAtmE3
.1.3.6.1.4.1.2636.1.1.3.3.3.5.12	jnxM160QuadChT3
.1.3.6.1.4.1.2636.1.1.3.3.12.1.121	jnxPicGgsnPhoenixV1
.1.3.6.1.4.1.2636.1.1.3.3.3.5.11	jnxM160QuadT1
