.1.3.6.1.4.1.9.1.739	ciscoCrs1Fabric
.1.3.6.1.4.1.9.1.339	cisco3661Dc
.1.3.6.1.4.1.9.1.338	cisco3661Ac
.1.3.6.1.4.1.9.1.335	cisco676
.1.3.6.1.4.1.9.1.334	cisco675e
.1.3.6.1.4.1.9.1.337	cisco678
.1.3.6.1.4.1.9.1.641	cisco1811
.1.3.6.1.4.1.9.1.336	cisco677
.1.3.6.1.4.1.9.1.235	ciscoIGX8450
.1.3.6.1.4.1.9.1.740	ciscoFE2636
.1.3.6.1.4.1.9.1.238	ciscoBPX8650
.1.3.6.1.4.1.9.1.237	ciscoBPX8620
.1.3.6.1.4.1.9.1.239	ciscoBPX8680
.1.3.6.1.4.1.9.1.746	ciscoMCS7825I
.1.3.6.1.4.1.9.1.747	ciscoWsC3750g24ps
.1.3.6.1.4.1.9.1.230	catalyst8510msr
.1.3.6.1.4.1.9.1.748	ciscoWs3020Hpq
.1.3.6.1.4.1.9.1.231	catalyst8515msr
.1.3.6.1.4.1.9.1.741	ciscoIDS4220
.1.3.6.1.4.1.9.1.742	ciscoIDS4230
.1.3.6.1.4.1.9.1.232	ciscoIGX8410
.1.3.6.1.4.1.9.1.233	ciscoIGX8420
.1.3.6.1.4.1.9.1.234	ciscoIGX8430
.1.3.6.1.4.1.9.1.330	cisco627
.1.3.6.1.4.1.9.1.642	cisco1812
.1.3.6.1.4.1.9.1.643	ciscoCRS8S
.1.3.6.1.4.1.9.1.331	cisco633
.1.3.6.1.4.1.9.1.332	cisco673
.1.3.6.1.4.1.9.1.645	ciscoIDS4210
.1.3.6.1.4.1.9.1.333	cisco675
.1.3.6.1.4.1.9.1.646	ciscoIDS4215
.1.3.6.1.4.1.9.1.749	ciscoWs3030Del
.1.3.6.1.4.1.9.1.647	ciscoIDS4235
.1.3.6.1.4.1.9.1.648	ciscoIPS4240
.1.3.6.1.4.1.9.1.649	ciscoIDS4250
.1.3.6.1.4.1.9.1.452	cat355024Dc
.1.3.6.1.4.1.9.1.658	cisco7604
.1.3.6.1.4.1.9.1.451	ciscoPIXFirewall515E
.1.3.6.1.4.1.9.1.657	ciscoWSC6504E
.1.3.6.1.4.1.9.1.454	ciscoCE2636
.1.3.6.1.4.1.9.1.453	cat355024Mmf
.1.3.6.1.4.1.9.1.659	catalyst494810GE
.1.3.6.1.4.1.9.1.654	ciscoIDSNMCIDS
.1.3.6.1.4.1.9.1.653	ciscoIDSIDSM2
.1.3.6.1.4.1.9.1.450	ciscoPIXFirewall506E
