.1.3.6.1.4.1.9.12.3.1.9.23.15	cevModuleCat296024
.1.3.6.1.4.1.9.12.3.1.9.23.16	cevModuleCat296048
.1.3.6.1.4.1.9.12.3.1.4.52	cevBackplaneN7Kc7010
.1.3.6.1.4.1.9.12.3.1.9.43.3	cevGsrPa3Ge
.1.3.6.1.4.1.9.12.3.1.9.23.13	cevModuleCat297024TS
.1.3.6.1.4.1.9.12.3.1.9.23.14	cevModuleCat297048TS
.1.3.6.1.4.1.9.12.3.1.9.43.1	cevGsrPaUnknown
.1.3.6.1.4.1.9.12.3.1.9.23.18	cevModuleCat2960G48
.1.3.6.1.4.1.9.12.3.1.9.23.17	cevModuleCat2960G24
.1.3.6.1.4.1.9.12.3.1.9.23.19	cevModuleCat296024TT
.1.3.6.1.4.1.9.12.3.1.9.23.20	cevModuleCat296048TT
.1.3.6.1.4.1.9.12.3.1.9.23.21	cevModuleCat29608TC
.1.3.6.1.4.1.9.12.3.1.9.23.22	cevModuleCat2960G8TC
.1.3.6.1.4.1.9.12.3.1.4.42	cevBackplaneDSX9116K9
.1.3.6.1.4.1.9.12	ciscoModules
.1.3.6.1.4.1.9.12.3.1.4.43	cevBackplaneONS15310
.1.3.6.1.4.1.9.12.3.1.4.40	cevBackplane4SlotsRCON8850
.1.3.6.1.4.1.9.12.3.1.4.41	cevBackplane4SlotsRCON8830
.1.3.6.1.4.1.9.12.3.1.3.290	cevChassis9004
.1.3.6.1.4.1.9.12.3.1.3.293	cevChassisCat295012G
.1.3.6.1.4.1.9.12.3.1.3.295	cevChassisCat295048G
.1.3.6.1.4.1.9.12.3.1.3.294	cevChassisCat295024G
.1.3.6.1.4.1.9.12.3.1.3.299	cevChassisCE560AV
.1.3.6.1.4.1.9.12.3.1.3.298	cevChassisCE507AV
.1.3.6.1.4.1.9.12.3.1.9.5.133	cevCpu7201Npeg2
.1.3.6.1.4.1.9.12.3.1.9.5.132	cevCpuCat6kVsS72010G
.1.3.6.1.4.1.9.12.3.1.9.5.134	cevCpuSamiDc8548H
.1.3.6.1.4.1.9.12.3.1.9.5.131	cevCpuCat6kVsF6kMsfc3
.1.3.6.1.4.1.9.12.3.1.9.5.138	cevCpuBroadcomSB1A
.1.3.6.1.4.1.9.12.3.1.3.282	cevChassis1760
.1.3.6.1.4.1.9.12.3.1.3.280	cevChassis3725
.1.3.6.1.4.1.9.12.3.1.3.285	cevChassis2611M
.1.3.6.1.4.1.9.12.3.1.3.284	cevChassis2610M
.1.3.6.1.4.1.9.12.3.1.3.283	cevChassisPIXFirewall501
.1.3.6.1.4.1.9.12.3.1.3.289	cevChassis12404
.1.3.6.1.4.1.9.12.3.1.9.5.146	cevCpuCat6kWsSup32Pge
.1.3.6.1.4.1.9.12.3.1.9.5.145	cevCpuTraffic
.1.3.6.1.4.1.9.12.3.1.9.5.148	cevCpuCat6kWsF6kPisa
.1.3.6.1.4.1.9.12.3.1.9.5.147	cevCpuCat6kWsSup32P10ge
.1.3.6.1.4.1.9.12.3.1.9.5.111	cevCpuCat6kWsSup32ge
.1.3.6.1.4.1.9.12.3.1.9.5.110	cevCpuPrp2
.1.3.6.1.4.1.9.12.3.1.9.5.112	cevCpuCat6kWsSup3210ge
.1.3.6.1.4.1.9.12.3.1.9.5.115	cevCpu1800
.1.3.6.1.4.1.9.12.3.1.9.5.119	cevCpuCat6kMsfc2a
.1.3.6.1.4.1.9.12.3.1.9.5.118	cevCpu7200Npeg2
.1.3.6.1.4.1.9.12.3.1.9.5.120	cevCpuC28012fe
.1.3.6.1.4.1.9.12.3.1.9.2.182	cevHwic2fe
.1.3.6.1.4.1.9.12.3.1.9.2.185	cevModuleCrs1RPB
.1.3.6.1.4.1.9.12.3.1.9.2.180	cevNmCips
.1.3.6.1.4.1.9.12.3.1.9.2.181	cevHwic1fe
.1.3.6.1.4.1.9.12.3.1.9.2.193	cevSpaIPSEC2g2
.1.3.6.1.4.1.9.12.3.1.9.2.189	cevModuleCrs116mFabricCard
.1.3.6.1.4.1.9.12.3.1.9.2.187	cevModuleCrs1SPAInfCard
.1.3.6.1.4.1.9.12.3.1.9.2.186	cevModuleCrs1FccSCGe
.1.3.6.1.4.1.9.12.3.1.9.2.163	cevModuleCrs14OC192IRPlim
.1.3.6.1.4.1.9.12.3.1.9.2.154	cevSpa8xfeTx
.1.3.6.1.4.1.9.12.3.1.9.2.153	cevWicCsuDsuFT1v2
.1.3.6.1.4.1.9.12.3.1.9.5.152	cevCpuCrs1PlimAsic
.1.3.6.1.4.1.9.12.3.1.9.2.170	cevUsbToken
.1.3.6.1.4.1.9.12.3.1.9.2.173	cevUsbDevice
.1.3.6.1.4.1.9.12.3.1.9.2.171	cevUsbHub
.1.3.6.1.4.1.9.12.3.1.9.2.164	cevSpa8xGe
.1.3.6.1.4.1.9.12.3.1.9.2.169	cevUsbFlash
.1.3.6.1.4.1.9.12.3.1.9.2.168	cevWic1ShdslV3
.1.3.6.1.4.1.9.12.3.1.3.209	cevChassis3662AcCo
.1.3.6.1.4.1.9.12.3.1.9.2.137	cevAimVpnBp2Plus
.1.3.6.1.4.1.9.12.3.1.9.2.138	cevAimVpnEp2Plus
.1.3.6.1.4.1.9.12.3.1.9.2.135	cevAimVpnEp2
.1.3.6.1.4.1.9.12.3.1.3.207	cevChassis3662Ac
.1.3.6.1.4.1.9.12.3.1.10.108	cevPortOc12
.1.3.6.1.4.1.9.12.3.1.3.208	cevChassis3662Dc
.1.3.6.1.4.1.9.12.3.1.9.2.136	cevAimVpnHp2
.1.3.6.1.4.1.9.12.3.1.10.109	cevPortGe
.1.3.6.1.4.1.9.12.3.1.9.2.133	cevAimVpnHp
.1.3.6.1.4.1.9.12.3.1.9.2.134	cevAimVpnBp2
.1.3.6.1.4.1.9.12.3.1.9.2.131	cevAimVpnEp
.1.3.6.1.4.1.9.12.3.1.9.2.132	cevNmVpnMp
.1.3.6.1.4.1.9.12.3.1.10.102	cevPortThru
.1.3.6.1.4.1.9.12.3.1.10.103	cevPortFilter
.1.3.6.1.4.1.9.12.3.1.10.100	cevPortGEIP
.1.3.6.1.4.1.9.12.3.1.10.101	cevPortWDM
.1.3.6.1.4.1.9.12.3.1.10.106	cevPortTransparent
.1.3.6.1.4.1.9.12.3.1.10.107	cevPortDPT
.1.3.6.1.4.1.9.12.3.1.9.2.139	cevAimVpnHp2Plus
.1.3.6.1.4.1.9.12.3.1.10.104	cevPortWave
.1.3.6.1.4.1.9.12.3.1.10.105	cevPortWavePatch
.1.3.6.1.4.1.9.12.3.1.9.54.1	cevC3220Smic
.1.3.6.1.4.1.9.12.3.1.9.54.2	cevC3220Fesmic
.1.3.6.1.4.1.9.12.3.1.10.110	cevPortChOc12
.1.3.6.1.4.1.9.12.3.1.9.2.141	cevHwicAdslBriIsdn
.1.3.6.1.4.1.9.12.3.1.3.213	cevChassisUbr7114
.1.3.6.1.4.1.9.12.3.1.9.2.140	cevHwicAdslBriPots
.1.3.6.1.4.1.9.12.3.1.3.211	cevChassisUbr7111
.1.3.6.1.4.1.9.12.3.1.3.210	cevChassis3662DcCo
.1.3.6.1.4.1.9.12.3.1.3.216	cevChassis8110
.1.3.6.1.4.1.9.12.3.1.3.215	cevChassis12010
.1.3.6.1.4.1.9.12.3.1.10.119	cevPortAtm
.1.3.6.1.4.1.9.12.3.1.9.2.146	cevNMCueEc
.1.3.6.1.4.1.9.12.3.1.9.2.147	cevC180xdot11abg
.1.3.6.1.4.1.9.12.3.1.9.2.148	cevC180xdot11bg
.1.3.6.1.4.1.9.12.3.1.9.2.149	cevC180x8ilp
.1.3.6.1.4.1.9.12.3.1.9.2.142	cevHwicAdslIsdn
.1.3.6.1.4.1.9.12.3.1.9.2.143	cevHwicAdslPots
.1.3.6.1.4.1.9.12.3.1.9.2.144	cevSpa2pOc48PosRprHH
.1.3.6.1.4.1.9.12.3.1.10.111	cevPortChOc3Stm1
.1.3.6.1.4.1.9.12.3.1.10.112	cevPortFilterGroup
.1.3.6.1.4.1.9.12.3.1.10.113	cevPortFilterBand
.1.3.6.1.4.1.9.12.3.1.10.114	cevPortChE1T1
.1.3.6.1.4.1.9.12.3.1.10.115	cevPortASIMod
.1.3.6.1.4.1.9.12.3.1.10.116	cevPortASIIn
.1.3.6.1.4.1.9.12.3.1.10.117	cevPortASIOut
.1.3.6.1.4.1.9.12.3.1.10.118	cevPortAimDsp
.1.3.6.1.4.1.9.12.3.1.10.121	cevPortChOcX
.1.3.6.1.4.1.9.12.3.1.10.120	cevPortChSonet
.1.3.6.1.4.1.9.12.3.1.9.2.150	cevDfcDl108
.1.3.6.1.4.1.9.12.3.1.3.200	cevChassis675
.1.3.6.1.4.1.9.12.3.1.3.202	cevChassis676
.1.3.6.1.4.1.9.12.3.1.9.2.151	cevDfcDl60
.1.3.6.1.4.1.9.12.3.1.3.201	cevChassis675e
.1.3.6.1.4.1.9.12.3.1.3.204	cevChassis678
.1.3.6.1.4.1.9.12.3.1.3.203	cevChassis677
.1.3.6.1.4.1.9.12.3.1.3.206	cevChassis3661Dc
.1.3.6.1.4.1.9.12.3.1.3.205	cevChassis3661Ac
.1.3.6.1.4.1.9.12.3.1.9.2.115	cevSpa2pGe
.1.3.6.1.4.1.9.12.3.1.9.2.116	cevCompactFlash64MB
.1.3.6.1.4.1.9.12.3.1.3.229	cevChassisIAD2420
.1.3.6.1.4.1.9.12.3.1.9.15.13	cevDspmPvdm2
.1.3.6.1.4.1.9.12.3.1.9.2.119	cevCompactFlash512MB
.1.3.6.1.4.1.9.12.3.1.9.15.12	cevDspmPvdm1
.1.3.6.1.4.1.9.12.3.1.9.2.117	cevCompactFlash128MB
.1.3.6.1.4.1.9.12.3.1.9.15.15	cevDspmPvdm5
.1.3.6.1.4.1.9.12.3.1.9.15.14	cevDspmPvdm4
.1.3.6.1.4.1.9.12.3.1.9.2.118	cevCompactFlash256MB
.1.3.6.1.4.1.9.12.3.1.9.15.17	cevHdaEm10fxs
.1.3.6.1.4.1.9.12.3.1.9.15.18	cevHdaEm4dsp
.1.3.6.1.4.1.9.12.3.1.3.231	cevChassis674
.1.3.6.1.4.1.9.12.3.1.3.230	cevChassis677i
.1.3.6.1.4.1.9.12.3.1.3.239	cevChassisCVA124E
.1.3.6.1.4.1.9.12.3.1.3.238	cevChassisCVA122E
.1.3.6.1.4.1.9.12.3.1.3.232	cevChassisDPA7630
.1.3.6.1.4.1.9.12.3.1.9.2.120	cevCompactFlash
.1.3.6.1.4.1.9.12.3.1.9.2.121	cevSpa1pChOc3Stm1
.1.3.6.1.4.1.9.12.3.1.9.2.122	cevFlashCard48MB
.1.3.6.1.4.1.9.12.3.1.9.2.123	cevFlashCard64MB
.1.3.6.1.4.1.9.12.3.1.9.2.124	cevFlashCard128MB
.1.3.6.1.4.1.9.12.3.1.9.2.125	cevFlashCard256MB
.1.3.6.1.4.1.9.12.3.1.9.2.126	cevFlashCard512MB
.1.3.6.1.4.1.9.12.3.1.9.2.127	cevFlashCard
.1.3.6.1.4.1.9.12.3.1.9.2.128	cevHwicdot11abg
.1.3.6.1.4.1.9.12.3.1.9.15.26	cevVic4vpFxs4Did
.1.3.6.1.4.1.9.12.3.1.9.2.129	cevHwicdot11bg
.1.3.6.1.4.1.9.12.3.1.9.15.25	cevCeIde2636
.1.3.6.1.4.1.9.12.3.1.9.15.24	cevCeScsi2636
.1.3.6.1.4.1.9.12.3.1.9.15.29	cevVwic2Mft1T1E1
.1.3.6.1.4.1.9.12.3.1.9.15.28	cevModuleCat4000DaughterCardType
.1.3.6.1.4.1.9.12.3.1.3.220	cevChassisSOHO77
.1.3.6.1.4.1.9.12.3.1.3.226	cevChassisCat2950t24
.1.3.6.1.4.1.9.12.3.1.3.228	cevChassisContentEngine
.1.3.6.1.4.1.9.12.3.1.3.227	cevChassisVPS1110
.1.3.6.1.4.1.9.12.3.1.3.222	cevChassis7150Dualfe
.1.3.6.1.4.1.9.12.3.1.3.221	cevChassisSOHO76
.1.3.6.1.4.1.9.12.3.1.9.2.130	cevAimVpnBp
.1.3.6.1.4.1.9.12.3.1.3.224	cevChassis7150Dualt3
.1.3.6.1.4.1.9.12.3.1.3.223	cevChassis7150Octt1
.1.3.6.1.4.1.9.12.3.1.9.15.38	cevpvdm2dsphalf
.1.3.6.1.4.1.9.12.3.1.10.147	cevPortDSCC4
.1.3.6.1.4.1.9.12.3.1.10.146	cevPortGT96K
.1.3.6.1.4.1.9.12.3.1.9.15.39	cevpvdm2dsp4
.1.3.6.1.4.1.9.12.3.1.10.145	cevPortVOAByPassOut
.1.3.6.1.4.1.9.12.3.1.10.144	cevPortVOAByPassIn
.1.3.6.1.4.1.9.12.3.1.9.15.34	cevEcMft64
.1.3.6.1.4.1.9.12.3.1.9.15.35	cevEm4Fxs4Fxo
.1.3.6.1.4.1.9.12.3.1.9.15.36	cevEm6Fxo
.1.3.6.1.4.1.9.12.3.1.9.15.37	cevEm4BriNtTe
.1.3.6.1.4.1.9.12.3.1.9.15.30	cevVwic2Mft1G703
.1.3.6.1.4.1.9.12.3.1.9.15.31	cevVwic2Mft2T1E1
.1.3.6.1.4.1.9.12.3.1.9.15.32	cevVwic2Mft2G703
.1.3.6.1.4.1.9.12.3.1.9.15.33	cevEcMft32
.1.3.6.1.4.1.9.12.3.1.3.256	cevChassisPIXFirewall515
.1.3.6.1.4.1.9.12.3.1.3.257	cevChassisPIXFirewall520
.1.3.6.1.4.1.9.12.3.1.3.254	cevChassis12406
.1.3.6.1.4.1.9.12.3.1.3.255	cevChassisPIXFirewall506
.1.3.6.1.4.1.9.12.3.1.3.258	cevChassisPIXFirewall525
.1.3.6.1.4.1.9.12.3.1.3.259	cevChassisPIXFirewall535
.1.3.6.1.4.1.9.12.3.1.10.150	cevPortBaseTEther
.1.3.6.1.4.1.9.12.3.1.10.153	cevPortWavePassThru
.1.3.6.1.4.1.9.12.3.1.3.252	cevChassisCat2948gL3Dc
.1.3.6.1.4.1.9.12.3.1.3.253	cevChassisCat4908gL3Dc
.1.3.6.1.4.1.9.12.3.1.10.154	cevPortDspPVDM
.1.3.6.1.4.1.9.12.3.1.10.151	cevPortGESFP
.1.3.6.1.4.1.9.12.3.1.3.250	cevChassis806
.1.3.6.1.4.1.9.12.3.1.3.251	cevChassis12416
.1.3.6.1.4.1.9.12.3.1.10.152	cevPortWdmSplit
.1.3.6.1.4.1.9.12.3.1.9.5.107	cevCpuCrs1SPLC
.1.3.6.1.4.1.9.12.3.1.10.156	cevPortVic2Did
.1.3.6.1.4.1.9.12.3.1.9.5.108	cevCpuCrs1SPFC
.1.3.6.1.4.1.9.12.3.1.10.155	cevPortiScsi
.1.3.6.1.4.1.9.12.3.1.9.5.109	cevCpu1800Mod
.1.3.6.1.4.1.9.12.3.1.10.158	cevPortWic1Shdsl
.1.3.6.1.4.1.9.12.3.1.9.15.49	cevEm2Hda4Fxo
.1.3.6.1.4.1.9.12.3.1.10.157	cevPortWic1Adsl
.1.3.6.1.4.1.9.12.3.1.9.5.103	cevCpuCrs1pfeAsic
.1.3.6.1.4.1.9.12.3.1.9.2.107	cevSpa10pGe
.1.3.6.1.4.1.9.12.3.1.9.15.47	cevVic2Mft1T1E1
.1.3.6.1.4.1.9.12.3.1.10.159	cevPortWic1Ethernet
.1.3.6.1.4.1.9.12.3.1.9.5.104	cevCpuCrs1EgressqAsic
.1.3.6.1.4.1.9.12.3.1.9.2.106	cevHwic9ilp
.1.3.6.1.4.1.9.12.3.1.9.15.48	cevVic2Mft2T1E1
.1.3.6.1.4.1.9.12.3.1.9.5.105	cevCpuCrs1FabricqAsic
.1.3.6.1.4.1.9.12.3.1.9.2.109	cevSpa5pGe
.1.3.6.1.4.1.9.12.3.1.9.15.45	cevpvdm2hwecan1
.1.3.6.1.4.1.9.12.3.1.9.5.106	cevCpuCrs1IngressqAsic
.1.3.6.1.4.1.9.12.3.1.9.2.108	cevSpa1p10GeXfp
.1.3.6.1.4.1.9.12.3.1.9.15.46	cevNetworkProcessor
.1.3.6.1.4.1.9.12.3.1.9.15.43	cevpvdm2hwecan3
.1.3.6.1.4.1.9.12.3.1.9.2.103	cevHwic9fes
.1.3.6.1.4.1.9.12.3.1.9.15.44	cevpvdm2hwecan2
.1.3.6.1.4.1.9.12.3.1.9.2.102	cevHwic4fe
.1.3.6.1.4.1.9.12.3.1.9.5.100	cevCpu3825ge2
.1.3.6.1.4.1.9.12.3.1.9.5.101	cevCpuCrs1AsmpRoute
.1.3.6.1.4.1.9.12.3.1.9.2.105	cevHwic4ilp
.1.3.6.1.4.1.9.12.3.1.9.15.41	cevpvdm2dsp2
.1.3.6.1.4.1.9.12.3.1.9.2.104	cevHwic4fes
.1.3.6.1.4.1.9.12.3.1.9.5.102	cevCpuCrs1DsmpRoute
.1.3.6.1.4.1.9.12.3.1.9.15.42	cevpvdm2dsp1
.1.3.6.1.4.1.9.12.3.1.9.15.40	cevpvdm2dsp3
.1.3.6.1.4.1.9.12.3.1.9.2.101	cevNmAONS
.1.3.6.1.4.1.9.12.3.1.9.2.100	cevSpa4pCT3
.1.3.6.1.4.1.9.12.3.1.3.245	cevChassisCAP340
.1.3.6.1.4.1.9.12.3.1.3.247	cevChassisDPA7610
.1.3.6.1.4.1.9.12.3.1.3.248	cevChassis828
.1.3.6.1.4.1.9.12.3.1.3.249	cevChassisSOHO78
.1.3.6.1.4.1.9.12.3.1.10.160	cevPort10GigBaseEX4
.1.3.6.1.4.1.9.12.3.1.10.161	cevPort10GigBaseLR
.1.3.6.1.4.1.9.12.3.1.10.162	cevPort10GigBaseSX4
